Target,Fase,Modelo,Accuracy,Precision,Recall,F1,AUC-ROC,PR-AUC,Sensitivity,Specificity,Info,Tiempo_seg
MORTALIDAD,Baseline,XGBoost,0.9696,0.1322,0.1592,0.1444,0.869,0.0928,0.1592,0.9829,Params fijos,
MORTALIDAD,Baseline,RandomForest,0.9592,0.14,0.2973,0.1904,0.8899,0.1266,0.2973,0.9701,Params fijos,
MORTALIDAD,Baseline,GradientBoosting,0.9714,0.138,0.1471,0.1424,0.8705,0.0947,0.1471,0.9849,Params fijos,
MORTALIDAD,Baseline,LogisticRegression,0.9245,0.113,0.5375,0.1868,0.8887,0.1258,0.5375,0.9308,Params fijos,
MORTALIDAD,Baseline,GaussianNB,0.8325,0.0622,0.6667,0.1138,0.8425,0.1992,0.6667,0.8352,Params fijos,
MORTALIDAD,Baseline,ExtraTrees,0.9633,0.1265,0.2162,0.1596,0.8877,0.1106,0.2162,0.9755,Params fijos,
MORTALIDAD,Baseline,LightGBM,0.9689,0.1432,0.1862,0.1619,0.8677,0.0985,0.1862,0.9817,Params fijos,
UCI,Baseline,XGBoost,0.9494,0.1333,0.2703,0.1786,0.8487,0.1131,0.2703,0.9635,Params fijos,
UCI,Baseline,RandomForest,0.9528,0.153,0.2905,0.2005,0.878,0.124,0.2905,0.9666,Params fijos,
UCI,Baseline,GradientBoosting,0.9583,0.1362,0.1959,0.1607,0.8528,0.1063,0.1959,0.9742,Params fijos,
UCI,Baseline,LogisticRegression,0.9221,0.1115,0.4054,0.1749,0.8668,0.1226,0.4054,0.9329,Params fijos,
UCI,Baseline,GaussianNB,0.8645,0.0777,0.5203,0.1352,0.8309,0.1789,0.5203,0.8716,Params fijos,
UCI,Baseline,ExtraTrees,0.9495,0.1589,0.3446,0.2175,0.8767,0.1241,0.3446,0.9621,Params fijos,
UCI,Baseline,LightGBM,0.9545,0.144,0.25,0.1827,0.8464,0.1231,0.25,0.9691,Params fijos,
MORTALIDAD,K-Fold (5),XGBoost,0.9698,0.1176,0.1352,0.1254,0.8465,0.087,0.1352,0.9835,±0.0040 (PR-AUC std),5.6
MORTALIDAD,K-Fold (5),RandomForest,0.9646,0.1361,0.223,0.1687,0.8782,0.1055,0.223,0.9768,±0.0019 (PR-AUC std),5.6
MORTALIDAD,K-Fold (5),GradientBoosting,0.9729,0.12,0.1051,0.1113,0.8487,0.0846,0.1051,0.9871,±0.0045 (PR-AUC std),30.2
MORTALIDAD,K-Fold (5),LogisticRegression,0.9252,0.1122,0.5255,0.1849,0.8775,0.1211,0.5255,0.9317,±0.0119 (PR-AUC std),4.5
MORTALIDAD,K-Fold (5),GaussianNB,0.8126,0.0572,0.6712,0.1053,0.8374,0.1813,0.6712,0.8149,±0.0101 (PR-AUC std),4.3
MORTALIDAD,K-Fold (5),ExtraTrees,0.9664,0.1394,0.2087,0.1669,0.883,0.109,0.2087,0.9788,±0.0021 (PR-AUC std),5.3
MORTALIDAD,K-Fold (5),LightGBM,0.9703,0.1138,0.1216,0.1169,0.8463,0.0868,0.1216,0.9842,±0.0074 (PR-AUC std),6.4
UCI,K-Fold (5),XGBoost,0.9507,0.1373,0.2676,0.1812,0.8278,0.1005,0.2676,0.9649,±0.0186 (PR-AUC std),2.2
UCI,K-Fold (5),RandomForest,0.9559,0.1655,0.2861,0.2096,0.8658,0.1234,0.2861,0.9698,±0.0263 (PR-AUC std),1.9
UCI,K-Fold (5),GradientBoosting,0.9584,0.1406,0.2037,0.1661,0.8339,0.0991,0.2037,0.9742,±0.0178 (PR-AUC std),8.0
UCI,K-Fold (5),LogisticRegression,0.9251,0.1392,0.5134,0.2189,0.8702,0.1344,0.5134,0.9337,±0.0165 (PR-AUC std),1.4
UCI,K-Fold (5),GaussianNB,0.8594,0.0843,0.5958,0.1477,0.841,0.2169,0.5958,0.8649,±0.0158 (PR-AUC std),1.3
UCI,K-Fold (5),ExtraTrees,0.9521,0.1543,0.3012,0.2039,0.8734,0.1294,0.3012,0.9657,±0.0274 (PR-AUC std),1.8
UCI,K-Fold (5),LightGBM,0.9559,0.1516,0.2525,0.1893,0.8293,0.1044,0.2525,0.9706,±0.0190 (PR-AUC std),3.1
MORTALIDAD,GridSearch,XGBoost,0.9514,0.1406,0.3934,0.2071,0.8956,0.1401,0.3934,0.9605,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",40.2
MORTALIDAD,GridSearch,RandomForest,0.9616,0.1431,0.2763,0.1885,0.8911,0.1224,0.2763,0.9729,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",103.8
MORTALIDAD,GridSearch,GradientBoosting,0.9503,0.1402,0.4054,0.2083,0.8955,0.1429,0.4054,0.9592,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",247.1
MORTALIDAD,GridSearch,LogisticRegression,0.9243,0.1138,0.5435,0.1881,0.889,0.1251,0.5435,0.9306,"{'C': 0.1, 'penalty': 'l1'}",6.3
MORTALIDAD,GridSearch,GaussianNB,0.8325,0.0622,0.6667,0.1138,0.8425,0.1992,0.6667,0.8352,{'var_smoothing': 1e-07},5.0
MORTALIDAD,GridSearch,ExtraTrees,0.9612,0.1321,0.2523,0.1734,0.8906,0.1184,0.2523,0.9728,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 200}",143.6
MORTALIDAD,GridSearch,LightGBM,0.9489,0.1377,0.4114,0.2063,0.8945,0.1368,0.4114,0.9577,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}",39.7
UCI,GridSearch,XGBoost,0.9425,0.1484,0.3851,0.2143,0.8753,0.1449,0.3851,0.9541,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",10.2
UCI,GridSearch,RandomForest,0.9583,0.122,0.1689,0.1416,0.8841,0.1231,0.1689,0.9747,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",27.1
UCI,GridSearch,GradientBoosting,0.9412,0.13,0.3311,0.1867,0.8738,0.1375,0.3311,0.9539,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",47.6
UCI,GridSearch,LogisticRegression,0.9357,0.1383,0.4122,0.2071,0.8745,0.1212,0.4122,0.9466,"{'C': 0.01, 'penalty': 'l2'}",1.8
UCI,GridSearch,GaussianNB,0.8645,0.0777,0.5203,0.1352,0.8309,0.1789,0.5203,0.8716,{'var_smoothing': 1e-06},1.6
UCI,GridSearch,ExtraTrees,0.9483,0.1524,0.3378,0.2101,0.8774,0.121,0.3378,0.9609,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",32.0
UCI,GridSearch,LightGBM,0.9437,0.1324,0.3176,0.1869,0.8645,0.1312,0.3176,0.9567,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}",12.1
