Target,Fase,Modelo,Accuracy,Precision,Recall,F1,AUC-ROC,PR-AUC,Sensitivity,Specificity,Info,Tiempo_seg
MORTALIDAD,Baseline,XGBoost,0.9245,0.1174,0.5646,0.1944,0.8988,0.1498,0.5646,0.9304,Params fijos,
MORTALIDAD,Baseline,RandomForest,0.9474,0.1314,0.4024,0.1981,0.8963,0.1316,0.4024,0.9564,Params fijos,
MORTALIDAD,Baseline,GradientBoosting,0.9258,0.116,0.5435,0.1911,0.8974,0.1347,0.5435,0.932,Params fijos,
MORTALIDAD,Baseline,LogisticRegression,0.9256,0.1166,0.5495,0.1924,0.8923,0.1333,0.5495,0.9317,Params fijos,
MORTALIDAD,Baseline,GaussianNB,0.8435,0.0617,0.6126,0.1122,0.8369,0.211,0.6126,0.8473,Params fijos,
MORTALIDAD,Baseline,ExtraTrees,0.957,0.1305,0.2943,0.1808,0.8877,0.1152,0.2943,0.9678,Params fijos,
MORTALIDAD,Baseline,LightGBM,0.9256,0.1195,0.5676,0.1975,0.8978,0.1357,0.5676,0.9314,Params fijos,
UCI,Baseline,XGBoost,0.9228,0.1155,0.4189,0.181,0.8708,0.1236,0.4189,0.9333,Params fijos,
UCI,Baseline,RandomForest,0.9445,0.1368,0.3243,0.1924,0.8817,0.1266,0.3243,0.9574,Params fijos,
UCI,Baseline,GradientBoosting,0.9283,0.1186,0.3919,0.1821,0.8684,0.1192,0.3919,0.9395,Params fijos,
UCI,Baseline,LogisticRegression,0.9271,0.127,0.4392,0.197,0.8709,0.1172,0.4392,0.9372,Params fijos,
UCI,Baseline,GaussianNB,0.8803,0.0723,0.4122,0.123,0.8353,0.1754,0.4122,0.89,Params fijos,
UCI,Baseline,ExtraTrees,0.9458,0.1545,0.3716,0.2183,0.8795,0.1213,0.3716,0.9577,Params fijos,
UCI,Baseline,LightGBM,0.925,0.1175,0.4122,0.1829,0.8703,0.1225,0.4122,0.9357,Params fijos,
MORTALIDAD,K-Fold (5),XGBoost,0.9282,0.1142,0.509,0.1864,0.8816,0.1152,0.509,0.9351,±0.0033 (PR-AUC std),4.8
MORTALIDAD,K-Fold (5),RandomForest,0.952,0.1322,0.3529,0.1922,0.8844,0.1161,0.3529,0.9619,±0.0031 (PR-AUC std),5.2
MORTALIDAD,K-Fold (5),GradientBoosting,0.93,0.1129,0.4865,0.1832,0.8769,0.1091,0.4865,0.9372,±0.0059 (PR-AUC std),24.3
MORTALIDAD,K-Fold (5),LogisticRegression,0.9263,0.114,0.5263,0.1874,0.8821,0.1238,0.5263,0.9328,±0.0138 (PR-AUC std),4.3
MORTALIDAD,K-Fold (5),GaussianNB,0.8305,0.0587,0.6209,0.107,0.8296,0.1907,0.6209,0.834,±0.0110 (PR-AUC std),4.0
MORTALIDAD,K-Fold (5),ExtraTrees,0.9598,0.1306,0.2628,0.1743,0.882,0.1081,0.2628,0.9712,±0.0051 (PR-AUC std),5.1
MORTALIDAD,K-Fold (5),LightGBM,0.928,0.1161,0.5226,0.1899,0.8815,0.115,0.5226,0.9347,±0.0021 (PR-AUC std),5.7
UCI,K-Fold (5),XGBoost,0.9273,0.1299,0.4494,0.2015,0.8599,0.1224,0.4494,0.9372,±0.0185 (PR-AUC std),1.8
UCI,K-Fold (5),RandomForest,0.9474,0.1548,0.3501,0.2145,0.8748,0.1302,0.3501,0.9599,±0.0280 (PR-AUC std),1.8
UCI,K-Fold (5),GradientBoosting,0.9286,0.1275,0.4275,0.1964,0.8535,0.12,0.4275,0.939,±0.0202 (PR-AUC std),6.8
UCI,K-Fold (5),LogisticRegression,0.9282,0.1408,0.4931,0.219,0.8769,0.1357,0.4931,0.9373,±0.0164 (PR-AUC std),1.3
UCI,K-Fold (5),GaussianNB,0.8717,0.0827,0.5251,0.1427,0.8425,0.2162,0.5251,0.879,±0.0163 (PR-AUC std),1.2
UCI,K-Fold (5),ExtraTrees,0.9487,0.1523,0.3315,0.2086,0.8756,0.1328,0.3315,0.9616,±0.0313 (PR-AUC std),1.7
UCI,K-Fold (5),LightGBM,0.9288,0.1323,0.4477,0.2042,0.8558,0.1219,0.4477,0.9388,±0.0204 (PR-AUC std),2.5
MORTALIDAD,GridSearch,XGBoost,0.9241,0.1201,0.5856,0.1994,0.9029,0.1566,0.5856,0.9297,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",24.1
MORTALIDAD,GridSearch,RandomForest,0.9441,0.1384,0.4715,0.214,0.9014,0.1445,0.4715,0.9519,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",94.5
MORTALIDAD,GridSearch,GradientBoosting,0.9256,0.1205,0.5736,0.1992,0.9007,0.1495,0.5736,0.9313,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",225.0
MORTALIDAD,GridSearch,LogisticRegression,0.9256,0.1172,0.5526,0.1934,0.8925,0.1334,0.5526,0.9317,"{'C': 1.0, 'penalty': 'l1'}",5.4
MORTALIDAD,GridSearch,GaussianNB,0.8435,0.0617,0.6126,0.1122,0.8369,0.2111,0.6126,0.8473,{'var_smoothing': 1e-05},4.3
MORTALIDAD,GridSearch,ExtraTrees,0.9514,0.1359,0.3754,0.1995,0.8921,0.1307,0.3754,0.9608,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 200}",127.7
MORTALIDAD,GridSearch,LightGBM,0.9229,0.1187,0.5886,0.1976,0.9029,0.1527,0.5886,0.9283,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}",28.1
UCI,GridSearch,XGBoost,0.9289,0.1375,0.473,0.2131,0.8809,0.1456,0.473,0.9383,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",7.8
