Target,Fase,Modelo,Accuracy,Precision,Recall,F1,AUC-ROC,PR-AUC,Sensitivity,Specificity,Info,Tiempo_seg
MORTALIDAD,Baseline,XGBoost,0.8024,0.0659,0.8529,0.1223,0.8956,0.1308,0.8529,0.8016,Params fijos,
MORTALIDAD,Baseline,RandomForest,0.7604,0.0569,0.8889,0.1069,0.8944,0.1322,0.8889,0.7583,Params fijos,
MORTALIDAD,Baseline,GradientBoosting,0.7906,0.0623,0.8529,0.1162,0.8927,0.1331,0.8529,0.7896,Params fijos,
MORTALIDAD,Baseline,LogisticRegression,0.7954,0.0633,0.8468,0.1178,0.8899,0.1307,0.8468,0.7946,Params fijos,
MORTALIDAD,Baseline,GaussianNB,0.8369,0.0611,0.6336,0.1114,0.8342,0.2106,0.6336,0.8402,Params fijos,
MORTALIDAD,Baseline,ExtraTrees,0.7843,0.0606,0.8529,0.1132,0.8851,0.1242,0.8529,0.7832,Params fijos,
MORTALIDAD,Baseline,LightGBM,0.8021,0.0658,0.8529,0.1221,0.894,0.1274,0.8529,0.8013,Params fijos,
UCI,Baseline,XGBoost,0.8108,0.0841,0.8378,0.1528,0.8751,0.1024,0.8378,0.8102,Params fijos,
UCI,Baseline,RandomForest,0.7829,0.0739,0.8378,0.1358,0.8778,0.1137,0.8378,0.7817,Params fijos,
UCI,Baseline,GradientBoosting,0.7879,0.0771,0.8581,0.1415,0.8728,0.1042,0.8581,0.7865,Params fijos,
UCI,Baseline,LogisticRegression,0.794,0.0782,0.8446,0.1431,0.8715,0.1068,0.8446,0.7929,Params fijos,
UCI,Baseline,GaussianNB,0.9106,0.0627,0.2432,0.0997,0.8336,0.1538,0.2432,0.9244,Params fijos,
UCI,Baseline,ExtraTrees,0.8386,0.0897,0.7568,0.1603,0.876,0.1054,0.7568,0.8403,Params fijos,
UCI,Baseline,LightGBM,0.8009,0.0802,0.8378,0.1463,0.8735,0.1104,0.8378,0.8001,Params fijos,
MORTALIDAD,K-Fold (5),XGBoost,0.7944,0.0611,0.8168,0.1137,0.8832,0.1092,0.8168,0.794,±0.0127 (PR-AUC std),4.7
MORTALIDAD,K-Fold (5),RandomForest,0.7661,0.056,0.8506,0.1051,0.8838,0.1119,0.8506,0.7648,±0.0113 (PR-AUC std),4.7
MORTALIDAD,K-Fold (5),GradientBoosting,0.788,0.0588,0.8078,0.1096,0.8775,0.1051,0.8078,0.7876,±0.0072 (PR-AUC std),4.8
MORTALIDAD,K-Fold (5),LogisticRegression,0.7997,0.0627,0.8183,0.1165,0.8807,0.1155,0.8183,0.7994,±0.0148 (PR-AUC std),3.9
MORTALIDAD,K-Fold (5),GaussianNB,0.8134,0.0556,0.6509,0.1023,0.8279,0.1955,0.6509,0.8161,±0.0111 (PR-AUC std),4.0
MORTALIDAD,K-Fold (5),ExtraTrees,0.788,0.0597,0.8228,0.1113,0.8776,0.1045,0.8228,0.7874,±0.0083 (PR-AUC std),4.5
MORTALIDAD,K-Fold (5),LightGBM,0.7956,0.0611,0.8116,0.1136,0.8824,0.1137,0.8116,0.7954,±0.0151 (PR-AUC std),5.0
UCI,K-Fold (5),XGBoost,0.8209,0.0832,0.7744,0.1503,0.8702,0.1314,0.7744,0.8218,±0.0170 (PR-AUC std),1.7
UCI,K-Fold (5),RandomForest,0.8008,0.0788,0.8114,0.1435,0.875,0.1374,0.8114,0.8006,±0.0288 (PR-AUC std),1.5
UCI,K-Fold (5),GradientBoosting,0.8042,0.0757,0.7625,0.1377,0.8607,0.1152,0.7625,0.8051,±0.0085 (PR-AUC std),1.6
