Target,Fase,Modelo,Accuracy,Precision,Recall,F1,AUC-ROC,PR-AUC,Sensitivity,Specificity,Info,Tiempo_seg
MORTALIDAD,Baseline,XGBoost,0.9591,0.1386,0.2943,0.1885,0.8893,0.1272,0.2943,0.97,Params fijos,
MORTALIDAD,Baseline,RandomForest,0.9487,0.1251,0.3634,0.1862,0.8969,0.1302,0.3634,0.9583,Params fijos,
MORTALIDAD,Baseline,GradientBoosting,0.9616,0.142,0.2733,0.1869,0.8901,0.124,0.2733,0.9729,Params fijos,
MORTALIDAD,Baseline,LogisticRegression,0.9165,0.1096,0.5856,0.1846,0.891,0.1289,0.5856,0.9219,Params fijos,
MORTALIDAD,Baseline,GaussianNB,0.8254,0.06,0.6697,0.1101,0.8377,0.2346,0.6697,0.8279,Params fijos,
MORTALIDAD,Baseline,ExtraTrees,0.9521,0.1339,0.3604,0.1953,0.8899,0.1203,0.3604,0.9618,Params fijos,
MORTALIDAD,Baseline,LightGBM,0.9599,0.1441,0.3003,0.1947,0.8893,0.1237,0.3003,0.9707,Params fijos,
UCI,Baseline,XGBoost,0.9488,0.1478,0.3176,0.2017,0.8603,0.1127,0.3176,0.9619,Params fijos,
UCI,Baseline,RandomForest,0.9494,0.1541,0.3311,0.2103,0.8824,0.1273,0.3311,0.9622,Params fijos,
UCI,Baseline,GradientBoosting,0.9527,0.1316,0.2365,0.1691,0.8682,0.1159,0.2365,0.9676,Params fijos,
UCI,Baseline,LogisticRegression,0.9247,0.1257,0.4527,0.1968,0.8716,0.116,0.4527,0.9345,Params fijos,
UCI,Baseline,GaussianNB,0.8607,0.0781,0.5405,0.1365,0.8276,0.2201,0.5405,0.8674,Params fijos,
UCI,Baseline,ExtraTrees,0.9458,0.1424,0.3311,0.1992,0.8801,0.1224,0.3311,0.9586,Params fijos,
UCI,Baseline,LightGBM,0.952,0.1474,0.2838,0.194,0.8623,0.1172,0.2838,0.9659,Params fijos,
MORTALIDAD,K-Fold (5),XGBoost,0.962,0.1394,0.2606,0.181,0.8715,0.1141,0.2606,0.9735,±0.0087 (PR-AUC std),16.8
MORTALIDAD,K-Fold (5),RandomForest,0.9555,0.1349,0.3244,0.1904,0.8869,0.1194,0.3244,0.9659,±0.0029 (PR-AUC std),16.4
