Target,Fase,Modelo,Accuracy,Precision,Recall,F1,AUC-ROC,PR-AUC,Sensitivity,Specificity,Info,Tiempo_seg
MORTALIDAD,Baseline,XGBoost,0.9651,0.1326,0.2102,0.1626,0.8681,0.0912,0.2102,0.9774,Params fijos,
MORTALIDAD,Baseline,RandomForest,0.9608,0.1385,0.2733,0.1838,0.8913,0.1246,0.2733,0.9721,Params fijos,
MORTALIDAD,Baseline,GradientBoosting,0.9672,0.1343,0.1892,0.1571,0.8707,0.0945,0.1892,0.98,Params fijos,
MORTALIDAD,Baseline,LogisticRegression,0.9231,0.112,0.5435,0.1857,0.8882,0.1256,0.5435,0.9293,Params fijos,
MORTALIDAD,Baseline,GaussianNB,0.8326,0.0618,0.6607,0.113,0.8422,0.2011,0.6607,0.8354,Params fijos,
MORTALIDAD,Baseline,ExtraTrees,0.9592,0.1295,0.2673,0.1745,0.8892,0.1148,0.2673,0.9705,Params fijos,
MORTALIDAD,Baseline,LightGBM,0.9655,0.1363,0.2132,0.1663,0.8707,0.1008,0.2132,0.9778,Params fijos,
UCI,Baseline,XGBoost,0.9496,0.1506,0.3176,0.2043,0.8536,0.1232,0.3176,0.9628,Params fijos,
UCI,Baseline,RandomForest,0.9531,0.159,0.3041,0.2088,0.8782,0.1263,0.3041,0.9666,Params fijos,
UCI,Baseline,GradientBoosting,0.9565,0.1471,0.2365,0.1813,0.8593,0.1255,0.2365,0.9715,Params fijos,
UCI,Baseline,LogisticRegression,0.9236,0.1139,0.4054,0.1778,0.8656,0.1204,0.4054,0.9344,Params fijos,
UCI,Baseline,GaussianNB,0.8673,0.0794,0.5203,0.1377,0.831,0.179,0.5203,0.8746,Params fijos,
UCI,Baseline,ExtraTrees,0.9495,0.1589,0.3446,0.2175,0.8787,0.1242,0.3446,0.9621,Params fijos,
UCI,Baseline,LightGBM,0.9539,0.155,0.2838,0.2005,0.8522,0.1225,0.2838,0.9678,Params fijos,
MORTALIDAD,K-Fold (5),XGBoost,0.9672,0.1149,0.1539,0.1309,0.8465,0.0862,0.1539,0.9806,±0.0049 (PR-AUC std),16.9
MORTALIDAD,K-Fold (5),RandomForest,0.9637,0.1339,0.229,0.1689,0.8779,0.1077,0.229,0.9757,±0.0018 (PR-AUC std),16.6
MORTALIDAD,K-Fold (5),GradientBoosting,0.9714,0.1234,0.1246,0.1235,0.8498,0.0863,0.1246,0.9853,±0.0050 (PR-AUC std),41.9
MORTALIDAD,K-Fold (5),LogisticRegression,0.9248,0.1114,0.524,0.1837,0.877,0.1193,0.524,0.9313,±0.0118 (PR-AUC std),15.4
MORTALIDAD,K-Fold (5),GaussianNB,0.8169,0.0584,0.6674,0.1072,0.838,0.1804,0.6674,0.8194,±0.0073 (PR-AUC std),15.5
MORTALIDAD,K-Fold (5),ExtraTrees,0.9641,0.1389,0.235,0.1743,0.8821,0.1092,0.235,0.9761,±0.0013 (PR-AUC std),17.2
MORTALIDAD,K-Fold (5),LightGBM,0.9687,0.1196,0.1472,0.1314,0.8455,0.0855,0.1472,0.9822,±0.0053 (PR-AUC std),17.9
UCI,K-Fold (5),XGBoost,0.9506,0.141,0.2777,0.1869,0.8363,0.105,0.2777,0.9646,±0.0175 (PR-AUC std),3.7
