Target,Modelo,Tecnica,fold_1,fold_2,fold_3,fold_4,fold_5
MORTALIDAD,XGBoost,ADASYN,0.083641,0.08648,0.094346,0.087215,0.083295
MORTALIDAD,RandomForest,ADASYN,0.103922,0.10274,0.106651,0.107812,0.106273
MORTALIDAD,GradientBoosting,ADASYN,0.086434,0.082533,0.090784,0.08605,0.077312
MORTALIDAD,LogisticRegression,ADASYN,0.129277,0.118398,0.106635,0.139339,0.111728
MORTALIDAD,GaussianNB,ADASYN,0.195939,0.178958,0.16464,0.182859,0.184195
MORTALIDAD,ExtraTrees,ADASYN,0.112239,0.105819,0.109501,0.109529,0.107768
MORTALIDAD,LightGBM,ADASYN,0.086343,0.083303,0.100458,0.08527,0.07841
UCI,XGBoost,ADASYN,0.126583,0.095825,0.117023,0.085174,0.077826
UCI,RandomForest,ADASYN,0.135936,0.129391,0.162692,0.099982,0.088987
UCI,GradientBoosting,ADASYN,0.113789,0.092191,0.125699,0.085637,0.078179
UCI,LogisticRegression,ADASYN,0.135232,0.160082,0.141917,0.123249,0.111445
UCI,GaussianNB,ADASYN,0.205262,0.236495,0.226868,0.223325,0.192553
UCI,ExtraTrees,ADASYN,0.150316,0.138899,0.162818,0.103977,0.091185
UCI,LightGBM,ADASYN,0.11961,0.092244,0.133816,0.092846,0.083646
