Target,Modelo,Tecnica,fold_1,fold_2,fold_3,fold_4,fold_5
MORTALIDAD,XGBoost,BorderlineSMOTE,0.083435,0.095381,0.094324,0.087988,0.078896
MORTALIDAD,RandomForest,BorderlineSMOTE,0.106296,0.108436,0.11447,0.111128,0.096543
MORTALIDAD,GradientBoosting,BorderlineSMOTE,0.089051,0.088844,0.09519,0.08609,0.077065
MORTALIDAD,LogisticRegression,BorderlineSMOTE,0.124766,0.120446,0.102612,0.125406,0.10996
MORTALIDAD,GaussianNB,BorderlineSMOTE,0.194116,0.183724,0.159164,0.182415,0.187727
MORTALIDAD,ExtraTrees,BorderlineSMOTE,0.112652,0.108403,0.106548,0.113191,0.108144
MORTALIDAD,LightGBM,BorderlineSMOTE,0.090004,0.09187,0.094185,0.083649,0.077333
UCI,XGBoost,BorderlineSMOTE,0.124061,0.102975,0.1167,0.092508,0.091399
UCI,RandomForest,BorderlineSMOTE,0.149054,0.125061,0.147312,0.106223,0.092694
UCI,GradientBoosting,BorderlineSMOTE,0.116046,0.097439,0.11888,0.099422,0.085205
UCI,LogisticRegression,BorderlineSMOTE,0.133321,0.151028,0.134635,0.120526,0.107303
UCI,GaussianNB,BorderlineSMOTE,0.198665,0.237617,0.216694,0.222234,0.198113
UCI,ExtraTrees,BorderlineSMOTE,0.145532,0.134082,0.169225,0.101538,0.095079
UCI,LightGBM,BorderlineSMOTE,0.105596,0.11224,0.11997,0.096958,0.087469
