Target,Modelo,Tecnica,fold_1,fold_2,fold_3,fold_4,fold_5
MORTALIDAD,XGBoost,RandomOverSampler,0.114743,0.119791,0.117471,0.113671,0.110134
MORTALIDAD,RandomForest,RandomOverSampler,0.118096,0.117257,0.118245,0.116966,0.110088
MORTALIDAD,GradientBoosting,RandomOverSampler,0.108316,0.111878,0.118953,0.103523,0.103
MORTALIDAD,LogisticRegression,RandomOverSampler,0.132281,0.121729,0.107263,0.145569,0.112284
MORTALIDAD,GaussianNB,RandomOverSampler,0.207947,0.196121,0.174879,0.1868,0.187659
MORTALIDAD,ExtraTrees,RandomOverSampler,0.11587,0.105828,0.111576,0.106375,0.100932
MORTALIDAD,LightGBM,RandomOverSampler,0.113334,0.11552,0.118918,0.11416,0.113129
UCI,XGBoost,RandomOverSampler,0.134569,0.139294,0.138275,0.102546,0.09738
UCI,RandomForest,RandomOverSampler,0.138602,0.140098,0.172548,0.108095,0.091784
UCI,GradientBoosting,RandomOverSampler,0.134484,0.126721,0.146108,0.097131,0.09572
UCI,LogisticRegression,RandomOverSampler,0.128097,0.160968,0.146753,0.128674,0.11376
UCI,GaussianNB,RandomOverSampler,0.197648,0.234225,0.214624,0.235228,0.199255
UCI,ExtraTrees,RandomOverSampler,0.146646,0.137351,0.181276,0.106192,0.092638
UCI,LightGBM,RandomOverSampler,0.121615,0.141408,0.146378,0.108377,0.091733
