Target,Modelo,Tecnica,fold_1,fold_2,fold_3,fold_4,fold_5
MORTALIDAD,XGBoost,RandomUnderSampler,0.129487,0.104996,0.096747,0.117739,0.097155
MORTALIDAD,RandomForest,RandomUnderSampler,0.114699,0.110422,0.103637,0.131795,0.099053
MORTALIDAD,GradientBoosting,RandomUnderSampler,0.109953,0.108878,0.096959,0.113773,0.096129
MORTALIDAD,LogisticRegression,RandomUnderSampler,0.127709,0.116216,0.096256,0.135426,0.1021
MORTALIDAD,GaussianNB,RandomUnderSampler,0.199123,0.213277,0.186581,0.197053,0.181276
MORTALIDAD,ExtraTrees,RandomUnderSampler,0.113162,0.106937,0.099179,0.112159,0.091207
MORTALIDAD,LightGBM,RandomUnderSampler,0.134392,0.105445,0.099091,0.129589,0.100134
UCI,XGBoost,RandomUnderSampler,0.128702,0.1564,0.132906,0.135513,0.103328
UCI,RandomForest,RandomUnderSampler,0.134654,0.174753,0.164962,0.11168,0.100873
UCI,GradientBoosting,RandomUnderSampler,0.122207,0.117445,0.120607,0.116795,0.098723
UCI,LogisticRegression,RandomUnderSampler,0.130682,0.154604,0.140554,0.127467,0.117921
UCI,GaussianNB,RandomUnderSampler,0.141919,0.165833,0.158128,0.263592,0.166965
UCI,ExtraTrees,RandomUnderSampler,0.123388,0.166537,0.170063,0.104673,0.100116
UCI,LightGBM,RandomUnderSampler,0.131069,0.135609,0.143168,0.121001,0.126052
