Target,Modelo,Tecnica,fold_1,fold_2,fold_3,fold_4,fold_5
MORTALIDAD,XGBoost,SMOTE,0.079657,0.082176,0.09378,0.082758,0.0841
MORTALIDAD,RandomForest,SMOTE,0.103302,0.106948,0.115086,0.107569,0.111951
MORTALIDAD,GradientBoosting,SMOTE,0.082851,0.084205,0.09487,0.084817,0.077799
MORTALIDAD,LogisticRegression,SMOTE,0.129527,0.115009,0.104732,0.136277,0.111103
MORTALIDAD,GaussianNB,SMOTE,0.185431,0.1781,0.167075,0.184673,0.184859
MORTALIDAD,ExtraTrees,SMOTE,0.112325,0.106312,0.106651,0.110307,0.110429
MORTALIDAD,LightGBM,SMOTE,0.082623,0.092174,0.090722,0.084032,0.083132
UCI,XGBoost,SMOTE,0.127296,0.102207,0.121697,0.091557,0.083499
UCI,RandomForest,SMOTE,0.146964,0.126667,0.161083,0.100336,0.087293
UCI,GradientBoosting,SMOTE,0.116008,0.092301,0.1298,0.089299,0.076042
UCI,LogisticRegression,SMOTE,0.132589,0.158755,0.14061,0.122497,0.108728
UCI,GaussianNB,SMOTE,0.204579,0.234461,0.227594,0.223366,0.193083
UCI,ExtraTrees,SMOTE,0.149756,0.130913,0.157375,0.101686,0.09647
UCI,LightGBM,SMOTE,0.11809,0.096959,0.130771,0.091575,0.084034
