Target,Modelo,Tecnica,fold_1,fold_2,fold_3,fold_4,fold_5
MORTALIDAD,XGBoost,SMOTEENN,0.107669,0.10884,0.126374,0.122529,0.104943
MORTALIDAD,RandomForest,SMOTEENN,0.120931,0.118025,0.116424,0.124384,0.117354
MORTALIDAD,GradientBoosting,SMOTEENN,0.113352,0.10556,0.126445,0.114862,0.108504
MORTALIDAD,LogisticRegression,SMOTEENN,0.131989,0.116665,0.104319,0.141716,0.110239
MORTALIDAD,GaussianNB,SMOTEENN,0.230619,0.23257,0.199189,0.222046,0.208829
MORTALIDAD,ExtraTrees,SMOTEENN,0.117456,0.110462,0.109987,0.111733,0.104419
MORTALIDAD,LightGBM,SMOTEENN,0.110023,0.109566,0.12074,0.124339,0.106227
UCI,XGBoost,SMOTEENN,0.127036,0.115676,0.14284,0.103604,0.096351
UCI,RandomForest,SMOTEENN,0.143499,0.1349,0.151626,0.111501,0.095571
UCI,GradientBoosting,SMOTEENN,0.12225,0.107591,0.145731,0.099954,0.094012
UCI,LogisticRegression,SMOTEENN,0.129485,0.165674,0.145718,0.123844,0.108701
UCI,GaussianNB,SMOTEENN,0.250598,0.288433,0.255612,0.291666,0.224605
UCI,ExtraTrees,SMOTEENN,0.147304,0.137318,0.167085,0.106301,0.093936
UCI,LightGBM,SMOTEENN,0.132233,0.116838,0.150632,0.101632,0.096195
