Target,Modelo,Tecnica,fold_1,fold_2,fold_3,fold_4,fold_5
MORTALIDAD,XGBoost,SMOTETomek,0.083237,0.086142,0.095536,0.083866,0.082006
MORTALIDAD,RandomForest,SMOTETomek,0.105018,0.107284,0.109879,0.109426,0.107024
MORTALIDAD,GradientBoosting,SMOTETomek,0.088657,0.086449,0.0942,0.080632,0.081333
MORTALIDAD,LogisticRegression,SMOTETomek,0.129508,0.115139,0.10468,0.136247,0.111029
MORTALIDAD,GaussianNB,SMOTETomek,0.185393,0.17808,0.167098,0.186534,0.184822
MORTALIDAD,ExtraTrees,SMOTETomek,0.111247,0.107765,0.107982,0.11003,0.109016
MORTALIDAD,LightGBM,SMOTETomek,0.080966,0.087017,0.094694,0.084763,0.079931
UCI,XGBoost,SMOTETomek,0.124116,0.104278,0.125252,0.087619,0.083886
UCI,RandomForest,SMOTETomek,0.147204,0.118911,0.153395,0.106117,0.088929
UCI,GradientBoosting,SMOTETomek,0.123625,0.097196,0.124717,0.091265,0.081499
UCI,LogisticRegression,SMOTETomek,0.132912,0.158676,0.141096,0.122898,0.108423
UCI,GaussianNB,SMOTETomek,0.204391,0.234688,0.227596,0.223366,0.196846
UCI,ExtraTrees,SMOTETomek,0.147475,0.128872,0.161717,0.102369,0.096134
UCI,LightGBM,SMOTETomek,0.144301,0.09498,0.128222,0.090723,0.081781
