Target,Modelo,Tecnica,fold_1,fold_2,fold_3,fold_4,fold_5
MORTALIDAD,XGBoost,SVMSMOTE,0.088025,0.099175,0.102687,0.092348,0.084279
MORTALIDAD,RandomForest,SVMSMOTE,0.120141,0.117686,0.121215,0.113819,0.091552
MORTALIDAD,GradientBoosting,SVMSMOTE,0.096002,0.092624,0.101304,0.092996,0.088942
MORTALIDAD,LogisticRegression,SVMSMOTE,0.12398,0.122266,0.105039,0.126821,0.111725
MORTALIDAD,GaussianNB,SVMSMOTE,0.196002,0.14519,0.159196,0.153507,0.18758
MORTALIDAD,ExtraTrees,SVMSMOTE,0.116199,0.116251,0.108386,0.11991,0.109219
MORTALIDAD,LightGBM,SVMSMOTE,0.096792,0.100303,0.102055,0.094402,0.084111
UCI,XGBoost,SVMSMOTE,0.131578,0.108122,0.122389,0.095153,0.095098
UCI,RandomForest,SVMSMOTE,0.143587,0.120065,0.152378,0.11338,0.103189
UCI,GradientBoosting,SVMSMOTE,0.115933,0.111087,0.121921,0.101619,0.095402
UCI,LogisticRegression,SVMSMOTE,0.136294,0.142931,0.138966,0.117942,0.104728
UCI,GaussianNB,SVMSMOTE,0.199003,0.189694,0.213839,0.180456,0.178678
UCI,ExtraTrees,SVMSMOTE,0.146892,0.128786,0.172551,0.105467,0.101231
UCI,LightGBM,SVMSMOTE,0.117276,0.108181,0.1261,0.100918,0.100321
